zipcode,name,income,label,lat,lon,hosp_count,hosp_rate,death_count,death_rate,pos_rate,tested,pos,test_rate,income_category,treatment_ratio
10454,Mott Haven/Port Morris,21447,10454,40.805487,-73.916605,42,111,11,29.1,5.47,1243,272,510.2,20k-30k,0.154411765
10474,Hunts Point,22965,10474,40.810595,-73.884618,12,100.2,,,3.21,280,36,350.7,20k-30k,0.333333333
11212,Ocean Hill-Brownsville,26521,11212,40.662935,-73.913011,124,167.6,22,29.7,4.95,2929,580,657,20k-30k,0.213793103
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,27545,10460,40.841753,-73.879584,71,120.6,16,27.2,3.35,1882,252,548.6,20k-30k,0.281746032
10456,Claremont/Morrisania,27917,10456,40.829884,-73.908121,111,119.1,17,18.2,3.14,2703,340,507.5,20k-30k,0.326470588
10455,Mott Haven,28585,10455,40.8147,-73.908583,53,126.5,8,19.1,4.14,1327,220,520.4,20k-30k,0.240909091
10453,Morris Heights/Mount Hope/University Heights,29136,10453,40.852304,-73.913578,76,96.6,15,19.1,3.7,2325,344,554.2,20k-30k,0.220930233
11239,East New York,29172,11239,40.64753,-73.882398,28,215,,,5.12,566,116,775.6,20k-30k,0.24137931
10459,Charlotte Gardens/Hunts Point,29284,10459,40.82584,-73.892976,53,110.7,10,20.9,4.04,1535,248,564,20k-30k,0.213709677
10452,Concourse/Highbridge,29579,10452,40.837364,-73.923461,51,67.8,16,21.3,3.82,2253,344,519.9,20k-30k,0.148255814
10457,Belmont/Claremont/Mount Hope/Tremont,29767,10457,40.847151,-73.898676,82,111.2,12,16.3,3.5,2258,316,531.7,20k-30k,0.259493671
10035,East Harlem,29799,10035,40.791,-73.924596,37,105,9,25.5,4.12,1286,212,678.2,20k-30k,0.174528302
10451,Concourse/Melrose,30349,10451,40.820705,-73.923865,55,116.1,19,40.1,4.19,1670,280,603.8,30k-40k,0.196428571
11224,Brighton Beach/Coney Island/Seagate,32549,11224,40.57666,-73.988581,86,185.9,18,38.9,7.18,1434,412,564.1,30k-40k,0.208737864
10472,Soundview,33498,10472,40.829561,-73.869393,58,85.3,13,19.1,4.06,2217,360,481,30k-40k,0.161111111
10029,East Harlem,33720,10029,40.791777,-73.943969,90,115.1,16,20.5,3.23,2754,356,626.4,30k-40k,0.252808989
10458,Belmont/Fordham University/Kingsbridge,35423,10458,40.862531,-73.88817,85,102.7,7,8.5,2.99,2610,312,563.2,30k-40k,0.272435897
10002,Chinatown/Lower East Side,36982,10002,40.715781,-73.986176,88,116.8,23,30.5,3.73,2762,412,630.6,30k-40k,0.213592233
10468,Fordham/Kingsbridge/University Heights,37804,10468,40.868161,-73.899844,52,66.8,9,11.6,3.76,2128,320,478.1,30k-40k,0.1625
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,39372,10467,40.880939,-73.873956,91,89.2,19,18.6,4.05,3355,544,564.4,30k-40k,0.167279412
11207,Cypress Hills/East New York,39382,11207,40.670819,-73.894255,100,112.3,21,23.6,5.09,3166,644,684,30k-40k,0.155279503
11206,Williamsburg (South),39753,11206,40.701957,-73.942361,54,62.3,21,24.2,5.34,2735,584,565.1,30k-40k,0.092465753
11219,Borough Park,40683,11219,40.632662,-73.996666,64,71,19,21.1,3.71,2721,404,383,40k-50k,0.158415842
11354,Flushing/Murray Hill,40786,11354,40.76863,-73.827229,85,157.6,15,27.8,6.29,1463,368,437.7,40k-50k,0.230978261
10473,Castle Hill/Clason Point/Soundview,41508,10473,40.818135,-73.858718,46,77.8,12,20.3,4.2,1953,328,553.2,40k-50k,0.140243902
10039,Central Harlem (North)/Washington Heights (South),42278,10039,40.830807,-73.936247,18,66.2,,,2.29,872,80,621.8,40k-50k,0.225
10030,Central Harlem (North),42348,10030,40.818326,-73.942842,22,75.2,10,34.2,3.82,996,152,556.9,40k-50k,0.144736842
11208,Cypress Hills/East New York,42403,11208,40.668385,-73.871084,110,115.1,20,20.9,6.5,3077,800,560.9,40k-50k,0.1375
11355,Flushing/Murray Hill/Queensboro Hill,42507,11355,40.751459,-73.821014,156,197.8,25,31.7,7.24,2113,612,388.1,40k-50k,0.254901961
11213,Crown Heights (East),44831,11213,40.671074,-73.93633,58,89.8,20,31,3.84,2239,344,645.5,40k-50k,0.168604651
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,44905,11233,40.678302,-73.919931,72,96.9,11,14.8,3.81,2572,392,676.8,40k-50k,0.183673469
10037,Central Harlem (North)/East Harlem,46263,10037,40.812957,-73.937419,9,43.3,,,4.89,777,152,639.6,40k-50k,0.059210526
11692,Arverne/Edgemere,46819,11692,40.592794,-73.792203,14,66.6,,,3.68,652,96,508.8,40k-50k,0.145833333
10040,Washington Heights (North),49677,10040,40.85831,-73.93049,25,56.9,10,22.7,4.16,1226,204,466.3,40k-50k,0.12254902
11220,Sunset Park,50191,11220,40.641081,-74.016495,105,111,22,23.3,5.95,2623,624,474.7,50k-60k,0.168269231
11691,Edgemere/Far Rockaway,50267,11691,40.60133,-73.761357,56,83.8,13,19.4,2.68,1789,192,472.7,50k-60k,0.291666667
10027,Central Harlem (South)/Morningside Heights/West Harlem,51938,10027,40.8118,-73.953204,48,75.7,6,9.5,1.47,3476,204,1157.8,50k-60k,0.235294118
10475,Co-op City/Edenwald,51951,10475,40.868941,-73.824854,33,77.2,10,23.4,2.7,1445,156,573.3,50k-60k,0.211538462
11230,Midwood,53070,11230,40.622164,-73.965096,70,78.7,14,15.7,5.6,2429,544,483.7,50k-60k,0.128676471
11204,Bensonhurst/Mapleton,53093,11204,40.618774,-73.984824,48,62.3,13,16.9,4.16,2188,364,460.5,50k-60k,0.131868132
11237,Bushwick/East Williamsburg,53303,11237,40.704153,-73.920883,20,41.7,6,12.5,2.91,1685,196,564.6,50k-60k,0.102040816
10032,Washington Heights (South),53525,10032,40.838768,-73.942824,44,69.8,5,7.9,2.65,2116,224,590,50k-60k,0.196428571
10031,Hamilton Heights/West Harlem,53660,10031,40.825278,-73.950037,46,77.9,12,20.3,2.36,1904,180,596.4,50k-60k,0.255555556
11223,Gravesend/Homecrest,54023,11223,40.597169,-73.973422,75,92,11,13.5,6.69,2272,608,441.8,50k-60k,0.123355263
11369,Airport/East Elmhurst,54184,11369,40.768944,-73.872812,33,98.1,,,3.91,1408,220,707.7,50k-60k,0.15
10304,New Dorp/Todt Hill,54199,10304,40.605985,-74.0943,62,148,12,28.6,4.66,1866,348,790.2,50k-60k,0.17816092
11368,Corona/North Corona,54211,11368,40.749594,-73.852604,95,86.1,10,9.1,4.09,4062,664,598.9,50k-60k,0.143072289
11433,Jamaica,54253,11433,40.69823,-73.787095,41,112.3,7,19.2,5.05,1110,224,498.3,50k-60k,0.183035714
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,54278,10462,40.842874,-73.858772,67,89,14,18.6,3.57,2238,320,568.3,50k-60k,0.209375
10034,Inwood/Washington Heights (North),54406,10034,40.867168,-73.924048,26,61.6,5,11.8,2.94,1225,144,497.1,50k-60k,0.180555556
11203,East Flatbush (North)/East Flatbush (South),54457,11203,40.649576,-73.934363,75,102.3,8,10.9,4.47,2508,448,632.9,50k-60k,0.167410714
11373,Elmhurst,54584,11373,40.738823,-73.8785,67,73.1,23,25.1,3.47,2680,372,513.9,50k-60k,0.180107527
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,54646,11235,40.583915,-73.949669,131,167.5,24,30.7,6.05,2428,588,561.4,50k-60k,0.222789116
11221,Bedford-Stuyvesant (East)/Bushwick,56900,11221,40.691339,-73.927885,86,105.6,12,14.7,3.63,2862,416,672.9,50k-60k,0.206730769
11214,Bath Beach/Bensonhurst/Gravesend,56911,11214,40.598729,-73.99621,93,100.2,32,34.5,5.01,2393,480,415.9,50k-60k,0.19375
11226,Flatbush/Prospect Lefferts Gardens,58257,11226,40.646456,-73.956654,76,78.1,8,8.2,3.4,3499,476,671.8,50k-60k,0.159663866
10461,Morris Park/Pelham Bay/Westchester Square,58305,10461,40.847415,-73.840601,52,105.9,8,16.3,3.79,1555,236,523.4,50k-60k,0.220338983
10466,Edenwald/Wakefield,58393,10466,40.890965,-73.845912,70,98.2,9,12.6,2.79,2261,252,544.1,50k-60k,0.277777778
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,58408,10463,40.880824,-73.906514,48,68.6,14,20,2.58,2091,216,523,50k-60k,0.222222222
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,58872,11205,40.694625,-73.966212,33,72.8,,,2.31,1561,144,566.9,50k-60k,0.229166667
11377,Woodside,58948,11377,40.744823,-73.90516,82,97.6,14,16.7,4.36,2777,484,556.8,50k-60k,0.169421488
10026,Central Harlem (South),59691,10026,40.802341,-73.952521,22,56.9,7,18.1,1.56,1534,96,739.7,50k-60k,0.229166667
11225,Crown Heights (West)/Prospect Lefferts Gardens,59820,11225,40.663056,-73.954226,31,53.9,6,10.4,3.09,2005,248,617.2,50k-60k,0.125
11693,Arverne/Broad Channel,60569,11693,40.603699,-73.821926,7,55.2,,,2.1,428,36,568.2,60k-70k,0.194444444
11372,Jackson Heights,60659,11372,40.75169,-73.883634,39,64.3,10,16.5,3,2268,272,557,60k-70k,0.143382353
11232,Sunset Park,61200,11232,40.655984,-74.005304,23,84.9,5,18.5,4.81,915,176,583.3,60k-70k,0.130681818
10470,Wakefield/Woodlawn,61266,10470,40.895986,-73.86802,12,80,,,4.55,505,92,553.6,60k-70k,0.130434783
11356,College Point,61859,11356,40.784867,-73.841495,22,96.4,,,4.66,730,136,512.8,60k-70k,0.161764706
10301,Silver Lake/St. George,62052,10301,40.628224,-74.096232,39,100.2,6,15.4,4.5,1533,276,730,60k-70k,0.141304348
11432,Hillcrest/Jamaica Estates/Jamaica Hills,62148,11432,40.715359,-73.793064,55,90.5,11,18.1,4.81,1664,320,475.7,60k-70k,0.171875
10033,Washington Heights (North)/Washington Heights (South),63093,10033,40.850497,-73.934007,29,49.6,7,12,1.95,1842,144,534.9,60k-70k,0.201388889
11367,Kew Gardens Hills/Pomonok,63546,11367,40.730383,-73.826297,34,83.6,7,17.2,4.84,1260,244,535.9,60k-70k,0.139344262
11370,Jackson Heights/Rikers Island,63706,11370,40.763466,-73.891021,25,78.7,7,22,3.97,906,144,431.1,60k-70k,0.173611111
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,63717,10009,40.72638,-73.978704,49,85.7,10,17.5,2.35,2596,244,876.6,60k-70k,0.200819672
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,64087,11434,40.656866,-73.783386,47,70.4,12,18,4.52,2324,420,573.7,60k-70k,0.111904762
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,64631,11229,40.601175,-73.944465,65,77.8,22,26.3,5.16,2560,528,486,60k-70k,0.123106061
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,65399,10469,40.86876,-73.846984,51,70.2,15,20.7,2.85,2282,260,508.1,60k-70k,0.196153846
10302,Elm Park,66096,10302,40.630598,-74.137891,17,92,,,5.42,848,184,779,60k-70k,0.092391304
11435,Briarwood/Jamaica,66137,11435,40.701291,-73.809618,42,71.9,13,22.3,5.7,1633,372,448.5,60k-70k,0.112903226
11374,Rego Park,66795,11374,40.726441,-73.861497,42,101.5,10,24.2,4.24,1227,208,531.5,60k-70k,0.201923077
10303,Graniteville/Mariner's Harbor/Port Ivory,67215,10303,40.632135,-74.169166,24,90.5,5,18.9,6.2,1274,316,829.8,60k-70k,0.075949367
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,67642,11365,40.739775,-73.794806,43,98.1,9,20.5,4.2,1120,188,429.1,60k-70k,0.228723404
11104,Sunnyside,67751,11104,40.744658,-73.920205,16,62.9,,,1.7,822,56,577.9,60k-70k,0.285714286
11216,Bedford-Stuyvesant (West)/Crown Heights (West),67795,11216,40.680785,-73.94931,23,42,5,9.1,3.64,2032,296,689.5,60k-70k,0.077702703
11106,Astoria (South),68530,11106,40.761792,-73.931771,20,53.4,6,16,3.07,1337,164,673.3,60k-70k,0.12195122
11358,Auburndale/Murray Hill,68848,11358,40.760475,-73.79637,33,91.6,,,2.78,971,108,455.2,60k-70k,0.305555556
11418,Richmond Hill,68920,11418,40.700236,-73.836062,40,106.4,5,13.3,4.71,1104,208,468.3,60k-70k,0.192307692
11210,Flatlands/Midwood,69385,11210,40.628165,-73.946316,32,48.7,9,13.7,3.12,1697,212,490.2,60k-70k,0.150943396
11236,Canarsie,70793,11236,40.640004,-73.901459,91,93.7,13,13.4,3.63,3330,484,649.7,70k-80k,0.188016529
11415,Kew Gardens,70900,11415,40.708323,-73.828212,22,116.6,5,26.5,4.63,562,104,498.1,70k-80k,0.211538462
11423,Hollis/Holliswood,71194,11423,40.71491,-73.767865,29,93.1,7,22.5,3.82,968,148,497.8,70k-80k,0.195945946
11102,Astoria (North),71382,11102,40.772498,-73.925912,21,69.9,7,23.3,2.16,1111,96,682.3,70k-80k,0.21875
11228,Bath Beach/Dyker Heights,72902,11228,40.616715,-74.013054,36,80,10,22.2,5.1,1215,248,504.6,70k-80k,0.14516129
11421,Woodhaven,73107,11421,40.69405,-73.85867,44,109.9,18,44.9,6.5,1292,336,519.4,70k-80k,0.130952381
11416,Ozone Park,73370,11416,40.684652,-73.849549,23,87.2,,,7.66,770,236,473.7,70k-80k,0.097457627
11218,Kensington/Windsor Terrace,73470,11218,40.64348,-73.976044,62,83.8,13,17.6,3.62,2403,348,574.4,70k-80k,0.17816092
11436,South Jamaica/South Ozone Park,75222,11436,40.675819,-73.796618,24,119.7,5,24.9,3.43,671,92,548.8,70k-80k,0.260869565
11385,Glendale/Ridgewood,75340,11385,40.701058,-73.890159,90,86.9,17,16.4,3.5,3228,452,479.7,70k-80k,0.199115044
11414,Hamilton Beach/Howard Beach/Lindenwood,75471,11414,40.658266,-73.844905,20,70.5,9,31.7,4.16,794,132,518.4,70k-80k,0.151515152
11101,Astoria (South)/Long Island City/Sunnyside,75581,11101,40.747077,-73.938586,27,73.3,,,2.02,1435,116,681.4,70k-80k,0.232758621
10465,Country Club/Throgs Neck,75617,10465,40.823931,-73.822886,43,99.7,10,23.2,4.24,1343,228,542.6,70k-80k,0.188596491
